nm,W/nm
380.0000,2.53244e-002
381.0000,2.58490e-002
382.0000,2.62604e-002
383.0000,2.80745e-002
384.0000,2.87512e-002
385.0000,2.91786e-002
386.0000,2.97679e-002
387.0000,2.91517e-002
388.0000,2.93036e-002
389.0000,3.10561e-002
390.0000,2.87977e-002
391.0000,3.02254e-002
392.0000,3.18806e-002
393.0000,3.14891e-002
394.0000,3.12016e-002
395.0000,3.29608e-002
396.0000,3.33293e-002
397.0000,3.44456e-002
398.0000,3.51960e-002
399.0000,3.73661e-002
400.0000,3.99101e-002
401.0000,4.31977e-002
402.0000,4.51146e-002
403.0000,4.58015e-002
404.0000,4.40530e-002
405.0000,4.41210e-002
406.0000,4.22250e-002
407.0000,4.29652e-002
408.0000,4.37335e-002
409.0000,4.34360e-002
410.0000,4.51329e-002
411.0000,4.53714e-002
412.0000,4.70651e-002
413.0000,4.76359e-002
414.0000,4.89082e-002
415.0000,5.01643e-002
416.0000,5.21147e-002
417.0000,5.26389e-002
418.0000,5.46575e-002
419.0000,5.52564e-002
420.0000,5.68474e-002
421.0000,5.75957e-002
422.0000,5.90593e-002
423.0000,5.91546e-002
424.0000,6.00532e-002
425.0000,6.23223e-002
426.0000,6.29642e-002
427.0000,6.48069e-002
428.0000,6.61901e-002
429.0000,6.88211e-002
430.0000,7.20680e-002
431.0000,7.37485e-002
432.0000,7.86405e-002
433.0000,8.34811e-002
434.0000,8.66668e-002
435.0000,8.85956e-002
436.0000,9.03575e-002
437.0000,9.08091e-002
438.0000,8.99181e-002
439.0000,8.52220e-002
440.0000,7.81449e-002
441.0000,7.11781e-002
442.0000,6.71542e-002
443.0000,6.82153e-002
444.0000,7.55517e-002
445.0000,8.90931e-002
446.0000,1.07747e-001
447.0000,1.29330e-001
448.0000,1.42784e-001
449.0000,1.41961e-001
450.0000,1.26858e-001
451.0000,1.08038e-001
452.0000,9.43928e-002
453.0000,8.44548e-002
454.0000,7.34058e-002
455.0000,6.20996e-002
456.0000,5.37456e-002
457.0000,5.04697e-002
458.0000,5.30067e-002
459.0000,5.81866e-002
460.0000,6.98701e-002
461.0000,8.74864e-002
462.0000,1.14928e-001
463.0000,1.61748e-001
464.0000,2.29512e-001
465.0000,2.85371e-001
466.0000,2.93975e-001
467.0000,2.52209e-001
468.0000,1.83438e-001
469.0000,1.26783e-001
470.0000,9.40307e-002
471.0000,7.94298e-002
472.0000,8.04404e-002
473.0000,9.06863e-002
474.0000,9.06791e-002
475.0000,7.86062e-002
476.0000,5.69809e-002
477.0000,3.87550e-002
478.0000,3.18822e-002
479.0000,3.00926e-002
480.0000,2.97653e-002
481.0000,3.03960e-002
482.0000,3.03402e-002
483.0000,3.12860e-002
484.0000,3.22440e-002
485.0000,3.40703e-002
486.0000,3.68396e-002
487.0000,4.04866e-002
488.0000,4.65675e-002
489.0000,5.42264e-002
490.0000,6.05176e-002
491.0000,6.85200e-002
492.0000,8.80859e-002
493.0000,1.37592e-001
494.0000,2.43935e-001
495.0000,4.44082e-001
496.0000,7.04624e-001
497.0000,8.28667e-001
498.0000,7.63708e-001
499.0000,5.35050e-001
500.0000,2.83447e-001
501.0000,1.44259e-001
502.0000,8.49882e-002
503.0000,6.07534e-002
504.0000,5.06532e-002
505.0000,4.53500e-002
506.0000,4.23643e-002
507.0000,4.12315e-002
